sector,index,name,netIncome,totalRevenue,marketCap_netIncome,growth_revenue,currentPrice,growth_income,sharesOutstanding,marketCap,ticker,netIncome_sharesOutstanding,marketCap_totalRevenue
Financial Services,151,AmTrust Financial Services Inc. Depository Shares Series B,168208000.0,6527250000.0,0.0,0.06388383765776028,15.75,-1.8489072620478557,0,0.0,AFSI-B,0,0.0
Financial Services,152,AmTrust Financial Services Inc. Depository Shares Series C,168208000.0,6527250000.0,0.0,0.06388383765776028,16.63,-1.8489072620478557,0,0.0,AFSI-C,0,0.0
Financial Services,153,AmTrust Financial Services Inc. Depositary Shares Series D,168208000.0,6527250000.0,0.0,0.06388383765776028,16.41,-1.8489072620478557,0,0.0,AFSI-D,0,0.0
Financial Services,154,AmTrust Financial Services Inc. Depositary Shares Series E,168208000.0,6527250000.0,0.0,0.06388383765776028,16.83,-1.8489072620478557,0,0.0,AFSI-E,0,0.0
Financial Services,155,AmTrust Financial Services Inc. Depositary Shares Series F,168208000.0,6527250000.0,0.0,0.06388383765776028,15.36,-1.8489072620478557,0,0.0,AFSI-F,0,0.0
,156,,0,0,0,0,23.3,0,0,0.0,AFSS,0,0
,157,,0,0,0,0,24.32,0,0,0.0,AFST,0,0
Financial Services,158,Apollo Senior Floating Rate Fund Inc.,0,0,0,0,15.68,0,15573061,244185596.48,AFT,0,0
,159,CSOP FTSE China A50,0,0,0,0,14.57,0,555882,8099200.74,AFTY,0,0
Financial Services,162,Aberdeen Global Dynamic Dividend Fund,0,0,0,0,10.04,0,12549581,125997793.24,AGD,0,0
,164,DB Agriculture Long ETN due April 1 2038,0,0,0,0,8.435,0,95000,801325.0,AGF,0,0
,166,AgroFresh Solutions Inc. Warrants,0,0,0,0,0.2,0,0,0.0,AGFSW,0,0
,167,iShares Core U.S. Aggregate Bond,0,0,0,0,104.44,0,530100000,55363644000.0,AGG,0,0
,168,IQ Enhanced Core Bond U.S.,0,0,0,0,18.39,0,3350001,61606518.39,AGGE,0,0
,169,IQ Enhanced Core Plus Bond U.S.,0,0,0,0,18.95,0,13350001,252982518.95,AGGP,0,0
,170,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,0,0,0,0,47.75,0,8600000,410650000.0,AGGY,0,0
Financial Services,175,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,97243000.0,181598000.0,0.0,0.08969031118189397,25.262,0.09243023767036491,0,0.0,AGM-A,0,0.0
Financial Services,176,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,97243000.0,181598000.0,0.0,0.08969031118189397,26.035,0.09243023767036491,0,0.0,AGM-B,0,0.0
Financial Services,177,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,97243000.0,181598000.0,0.0,0.08969031118189397,26.38,0.09243023767036491,0,0.0,AGM-C,0,0.0
Technology,179,AGM Group Holdings Inc.,0,0,0,0.6277192718324374,35,0.6594235767279337,21316055,746061925.0,AGMH,0,0
Real Estate,183,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,1388000000.0,1461000000.0,0.0,0.15521978021978022,25.46,0.2375601926163724,0,0.0,AGNCN,0,0.0
,184,WisdomTree Barclays U.S. Aggregate Bond Negative D,0,0,0,0,44.342,0,700000,31039400.0,AGND,0,0
,186,Assured Guaranty Ltd.,0,0,0,0,25.64,0,0,0.0,AGO-B,0,0
Financial Services,187,Assured Guaranty Ltd.,532000000.0,1418000000.0,0.0,0.1854724964739069,25,-0.1713961407491487,0,0.0,AGO-E,0,0.0
,188,Assured Guaranty Ltd.,0,0,0,0,23.95,0,0,0.0,AGO-F,0,0
,189,ProShares Ultra Silver,0,0,0,0,23.29,0,7946526,185074590.54,AGQ,0,0
Healthcare,192,Agile Therapeutics Inc.,-25519000.0,0,-0.9564600333085153,0,0.71,0.015204759750878536,34377329,24407903.59,AGRX,-0.7423206148447425,0
,194,iShares MSCI Argentina and Global Exposure,0,0,0,0,22.28,0,1000000,22280000.0,AGT,0,0
,198,iShares Agency Bond,0,0,0,0,109.981,0,3650000,401430650.0,AGZ,0,0
,199,WisdomTree Barclays U.S. Aggregate Bond Zero Durat,0,0,0,0,47.9,0,1200000,57480000.0,AGZD,0,0
Financial Services,203,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,-424000000.0,2403400000.0,-0.0,-0.06538759963320871,25.04,-2.3167732415150026,0,0.0,AHL-C,0,0.0
Industrials,205,Avista Healthcare Public Acquisition Corp.,-2393775.0,0,-50.53536851207821,0,10.08,-9.033220251272173,12001022,120970301.76,AHPA,-0.19946426229366132,0
Industrials,206,Avista Healthcare Public Acquisition Corp. Unit,-2393775.0,0,-0.0,0,10.25,-9.033220251272173,0,0.0,AHPAU,0,0
,207,Avista Healthcare Public Acquisition Corp. Warrants,0,0,0,0,0.15,0,0,0.0,AHPAW,0,0
Real Estate,211,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,-96356000.0,1426262000.0,-0.0,-0.03536962406579435,24.05,-0.44772604515501785,0,0.0,AHT-F,0,0.0
Real Estate,212,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,-96356000.0,1426262000.0,-0.0,-0.03536962406579435,23.95,-0.44772604515501785,0,0.0,AHT-G,0,0.0
Real Estate,213,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,-96356000.0,1426262000.0,-0.0,-0.03536962406579435,24.25,-0.44772604515501785,0,0.0,AHT-H,0,0.0
Real Estate,214,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,-96356000.0,1426262000.0,-0.0,-0.03536962406579435,24,-0.44772604515501785,0,0.0,AHT-I,0,0.0
Financial Services,216,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,-29882000.0,26641000.0,-0.0,10.125367863449087,23.75,1.4216750913004572,0,0.0,AI-B,0,0.0
,217,iShares Asia 50 ETF,0,0,0,0,58.56,0,16250000,951600000.0,AIA,0,0
,218,,0,0,0,0,24,0,0,0.0,AIC,0,0
,219,AI Powered Equity,0,0,0,0,28.71,0,7000000,200970000.0,AIEQ,0,0
Financial Services,220,Apollo Tactical Income Fund Inc.,0,0,0,0,15.5,0,14464026,224192403.0,AIF,0,0
Financial Services,222,American International Group Inc. Warrant expiring January 19 2021,-6524000000.0,47811000000.0,-0.0,-0.05323070458582425,14.2,-6.166077738515901,0,0.0,AIG+,0,0.0
,224,AI Powered International Equity,0,0,0,0,24.393,0,150000,3658950.0,AIIQ,0,0
Healthcare,226,Aimmune Therapeutics Inc.,-175010000.0,0,-8.751066531055368,0,26.19,-0.6248267841235277,58477440,1531524153.6000001,AIMT,-2.992778069628219,0
,231,Global X Future Analytics Tech ETF,0,0,0,0,15.03,0,3050002,45841530.059999995,AIQ,0,0
,235,First Trust RBA American Industrial Renaissance ET,0,0,0,0,27.2,0,6900002,187680054.4,AIRR,0,0
Real Estate,239,Apartment Investment and Management Company Preferred Series Class A,380600000.0,1007771000.0,0.0,0.009622896529009273,25.374,-0.2607363435081538,0,0.0,AIV-A,0,0.0
Financial Services,240,Arlington Asset Investment Corp 6.625% Notes due 2023,-29882000.0,26641000.0,-0.0,10.125367863449087,24.33,1.4216750913004572,0,0.0,AIW,0,0.0
Financial Services,241,Apollo Investment Corporation 6.875% Senior Notes due 2043,71497000.0,249474000.0,0.0,-0.08064205550771869,25.03,3.7375612411540557,0,0.0,AIY,0,0.0
Financial Services,243,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,428600000.0,6656300000.0,0.0,-0.11207426211248128,114.46,-0.08092332183603078,0,0.0,AIZP,0,0.0
,247,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,0,0,0,0,24.87,0,0,0.0,AJXA,0,0
Financial Services,256,Alliance California Municipal Income Fund Inc,0,0,0,0,13.43,0,8554668,114889191.24,AKP,0,0
Healthcare,261,Akari Therapeutics Plc,-31855501.0,0,-1.0105673974488738,0.0,2.11,-0.9513402157555068,15256934,32192130.74,AKTX,-2.0879359509584297,0
,266,WisdomTree Asia Local Debt Fund,0,0,0,0,42.1,0,400000,16840000.0,ALD,0,0
Healthcare,268,Aldeyra Therapeutics Inc.,-29388207.0,0,-9.09991650732554,0,12.75,-0.1947190425386843,20974920,267430230.0,ALDX,-1.4011117563261266,0
,271,AlphaClone Alternative Alpha,0,0,0,0,48.041,0,500000,24020500.0,ALFA,0,0
Industrials,274,Allegro Merger Corp.,-55.0,0,-0.0,0,9.56,0,0,0.0,ALGR,0,0
,275,Allegro Merger Corp. Right,0,0,0,0,0.39,0,0,0.0,ALGRR,0,0
Industrials,276,Allegro Merger Corp. Unit,-55.0,0,-0.0,0,10.3,0,0,0.0,ALGRU,0,0
,277,Allegro Merger Corp. Warrant,0,0,0,0,0.42,0,0,0.0,ALGRW,0,0
Financial Services,284,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,3566000000.0,39372000000.0,0.0,0.05446980894509224,24.27,0.6989877464038359,0,0.0,ALL-A,0,0.0
Financial Services,285,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,3566000000.0,39372000000.0,0.0,0.05446980894509224,24.71,0.6989877464038359,0,0.0,ALL-B,0,0.0
Financial Services,286,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,3566000000.0,39372000000.0,0.0,0.05446980894509224,24.98,0.6989877464038359,0,0.0,ALL-C*,0,0.0
Financial Services,287,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,3566000000.0,39372000000.0,0.0,0.05446980894509224,25.38,0.6989877464038359,0,0.0,ALL-D,0,0.0
Financial Services,288,Allstate Corporation Depositary Shares Series E,3566000000.0,39372000000.0,0.0,0.05446980894509224,25.34,0.6989877464038359,0,0.0,ALL-E,0,0.0
Financial Services,289,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,3566000000.0,39372000000.0,0.0,0.05446980894509224,25.495,0.6989877464038359,0,0.0,ALL-F,0,0.0
Financial Services,290,Allstate Corporation (The) Depositary Shares Series G,3566000000.0,39372000000.0,0.0,0.05446980894509224,24.4,0.6989877464038359,0,0.0,ALL-G,0,0.0
Healthcare,292,Allakos Inc.,-13541000.0,0,-109.72223037589542,0,35.28,-0.3773099415204678,42113059,1485748721.52,ALLK,-0.32153921661212026,0
Financial Services,295,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,0,0,0,0,26.05,0,0,0.0,ALLY-A,0,0
Healthcare,296,Allena Pharmaceuticals Inc.,-27874000.0,0,-7.735345308531248,0,10.39,0.11657893663035052,20752167,215615015.13000003,ALNA,-1.3431850273756953,0
Utilities,300,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),848000000.0,5934000000.0,0.0,0.020977808599167824,23.86,0.0345252774352651,0,0.0,ALP-Q,0,0.0
Healthcare,304,Aileron Therapeutics Inc.,-30203000.0,0,-1.2686569281197233,0,2.6,-0.2472548695028417,14737402,38317245.2,ALRN,-2.0494114227188756,0
,309,ProShares Morningstar Alternatives Solution,0,0,0,0,37.52,0,200001,7504037.5200000005,ALTS,0,0
,310,Global X SuperDividend Alternatives ETF,0,0,0,0,14.85,0,0,0.0,ALTY,0,0
Financial Services,320,Ambac Financial Group Inc. Warrants,99633000.0,643744000.0,0.0,0.22944560585991733,9.7,-5.392060713760806,0,0.0,AMBCW,0,0.0
,324,iShares Russell 1000 Pure U.S. Revenue ETF,0,0,0,0,28.55,0,400000,11420000.0,AMCA,0,0
Real Estate,336,American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest,103265000.0,1012124000.0,0.0,0.09274208688469192,24.16,11.098431665421957,0,0.0,AMH-D,0,0.0
Real Estate,337,American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest,103265000.0,1012124000.0,0.0,0.09274208688469192,23.6,11.098431665421957,0,0.0,AMH-E,0,0.0
Real Estate,338,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,103265000.0,1012124000.0,0.0,0.09274208688469192,22.3,11.098431665421957,0,0.0,AMH-F,0,0.0
Real Estate,339,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,103265000.0,1012124000.0,0.0,0.09274208688469192,22.45,11.098431665421957,0,0.0,AMH-G,0,0.0
,340,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,0,0,0,0,24.57,0,0,0.0,AMH-H,0,0
,342,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,0,0,0,0,28.14,0,119000000,3348660000.0,AMJ,0,0
,343,Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index Exchange Traded Notes due May 16 2036,0,0,0,0,19.033,0,0,0.0,AMJL,0,0
,345,Alerian MLP,0,0,0,0,10.93,0,918962100,10044255753.0,AMLP,0,0
Healthcare,352,Ampio Pharmaceuticals Inc.,-20719508.0,0,-2.6743995307031425,0,0.5201,-1.7078349826121138,106541516,55412242.4716,AMPE,-0.1944735608980822,0
,358,Ameri Holdings Inc. Warrant,0,0,0,0,0.1811,0,0,0.0,AMRHW,0,0
,362,Alta Mesa Resources Inc. Warrant,0,0,0,0,0.4726,0,0,0.0,AMRWW,0,0
,371,ETRACS Alerian MLP Index ETN,0,0,0,0,17.62,0,16835000,296632700.0,AMU,0,0
,372,ETRACS Alerian MLP Index ETN Series B due July 18 2042,0,0,0,0,17.695,0,400000,7078000.0,AMUB,0,0
,375,InfraCap MLP,0,0,0,0,7.57,0,84400004,638908030.28,AMZA,0,0
,388,VanEck Vectors Fallen Angel High Yield Bond,0,0,0,0,28.71,0,38300000,1099593000.0,ANGL,0,0
Real Estate,393,Anworth Mortgage Asset Corporation 7.625% Series C Cumulative Redeemable Preferred Stock,40954000.0,55155000.0,0.0,0.8315734448510194,24.85,1.4172853776730538,0,0.0,ANH-C,0,0.0
,401,iShares Core Aggressive Allocation,0,0,0,0,53.45,0,16650000,889942500.0,AOA,0,0
Financial Services,403,Aberdeen Total Dynamic Dividend Fund,0,0,0,0,8.55,0,107593338,919923039.9000001,AOD,0,0
,404,iShares Core Conservative Allocation,0,0,0,0,33.65,0,13750000,462687500.0,AOK,0,0
,405,iShares Core Moderate Allocation,0,0,0,0,37.17,0,24350000,905089500.0,AOM,0,0
,407,iShares Core Growth Allocation,0,0,0,0,44.15,0,24700000,1090505000.0,AOR,0,0
Financial Services,413,Asia Pacific Fund Inc. (The),0,0,0,0,12.852,0,10344072,132942013.344,APB,0,0
,417,,0,0,0,0,0.2,0,0,0.0,APDNW,0,0
Financial Services,420,Morgan Stanley Asia-Pacific Fund Inc.,0,0,0,0,15.73,0,13130016,206535151.68,APF,0,0
Healthcare,424,Apellis Pharmaceuticals Inc.,-84899773.0,0,-10.468083603474417,0,15.82,-0.8804341602801911,56178124,888737921.6800001,APLS,-1.5112603795740847,0
Financial Services,426,Apollo Global Management LLC 6.375% Series A Preferred Shares,397576000.0,2223969000.0,0.0,0.32470269754525005,24.33,0.5616333622936577,0,0.0,APO-A,0,0.0
Financial Services,427,Apollo Global Management LLC 6.375% Series B Preferred Shares,397576000.0,2223969000.0,0.0,0.32470269754525005,24.11,0.5616333622936577,0,0.0,APO-B,0,0.0
Healthcare,429,Cellect Biotechnology Ltd.,-5838963.2469999995,0,-5.262149251545032,0,4.72,-1.0468380544715306,6509639,30725496.08,APOP,-0.8969718976735883,0
,430,Cellect Biotechnology Ltd. Warrants to Purchase ADR (1 WT and $7.50 to purchase 1 ADS),0,0,0,0,1.298,0,0,0.0,APOPW,0,0
Healthcare,434,Apricus Biosciences Inc.,-10826000.0,0,-0.6734057490301127,0,0.311,1.0431857930848918,23441449,7290290.639,APRI,-0.46183151903280384,0
Healthcare,438,Aptose Biosciences Inc.,-22619810.718000002,0,-2.9111466546269265,0,1.9,0.1585574649702216,34657677,65849586.3,APTO,-0.65266378695837,0
,459,Arco Platform Limited,0,0,0,0,22.18,0,0,0.0,ARCE,0,0
,462,Arrow Reserve Capital Management,0,0,0,0,100.21,0,760000,76159600.0,ARCM,0,0
Financial Services,467,Ares Dynamic Credit Allocation Fund Inc.,0,0,0,0,15.3,0,22962441,351325347.3,ARDC,0,0
Healthcare,469,Aridis Pharmaceuticals Inc.,-23053000.0,388000.0,-0.0,-0.6209784045835169,12.4,-1.927570648302066,0,0.0,ARDS,0,0.0
Real Estate,472,Alexandria Real Estate Equities Inc. 7.00% Series D Cumulative Convertible Preferred Stock,283521000.0,1226547000.0,0.0,0.25053622663583947,34.5,3.565863947436306,0,0.0,ARE-D,0,0.0
Financial Services,474,Ares Management L.P. 7.00% Series A Preferred Shares Representing Limited Partner Interests,172273000.0,1056075000.0,0.0,0.18036449147560257,25.91,-0.32143875151428775,0,0.0,ARES-A,0,0.0
,476,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,0,0,0,0,25.18,0,0,0.0,ARGD,0,0
,478,Global X MSCI Argentina,0,0,0,0,26.24,0,824975,21647344.0,ARGT,0,0
Real Estate,481,Apollo Commercial Real Estate Finance 8.00% Series C Cumulative Redeemable Perpetual Preferred Stock,214452000.0,241816000.0,0.0,0.4154646877809718,25.19,0.22267475740454534,0,0.0,ARI-C,0,0.0
,483,ARK Genomic Revolution Multi-Sector,0,0,0,0,29.94,0,704922,21105364.68,ARKG,0,0
,484,ARK Innovation,0,0,0,0,43.36,0,0,0.0,ARKK,0,0
,485,ARK Industrial Innovation,0,0,0,0,33.7,0,0,0.0,ARKQ,0,0
,487,ARK Web x.0,0,0,0,0,53.83,0,600000,32298000.0,ARKW,0,0
,494,,0,0,0,0,85.71,0,0,0.0,ARNC-,0,0
,507,Arvinas Inc.,0,0,0,0,14.79,0,0,0.0,ARVN,0,0
,511,ARYA Sciences Acquisiton Corp. Unit,0,0,0,0,10.19,0,0,0.0,ARYAU,0,0
Financial Services,512,ASA Gold and Precious Metals Limited,0,0,0,-0.9443019052747463,8.71,-0.9790542703654128,19289905,168015072.55,ASA,0,0
Financial Services,514,Associated Banc-Corp Warrants,273659000.0,1167021000.0,0.0,0.012964129807311377,7.11,0.1447516901844473,0,0.0,ASB+,0,0.0
Financial Services,515,Associated Banc-Corp Depositary shares Series C,273659000.0,1167021000.0,0.0,0.012964129807311377,25.189,0.1447516901844473,0,0.0,ASB-C,0,0.0
,517,Associated Banc-Corp Depositary Shares Series E,0,0,0,0,23.85,0,0,0.0,ASB-E,0,0
,520,Global X FTSE Southeast Asia,0,0,0,0,15.59,0,1400000,21826000.0,ASEA,0,0
,521,FlexShares Real Assets Allocation Index Fund,0,0,0,0,27.599,0,525001,14489502.599,ASET,0,0
Financial Services,523,Liberty All-Star Growth Fund Inc.,0,0,0,0,6.4,0,27441940,175628416.0,ASG,0,0
,526,Xtrackers Harvest CSI 300 China A-Shares,0,0,0,0,23.98,0,33500001,803330023.98,ASHR,0,0
,527,Xtrackers Harvest CSI 500 China A-Shares Small Cap,0,0,0,0,24.44,0,900001,21996024.44,ASHS,0,0
,528,Xtrackers MSCI China A Inclusion Equity,0,0,0,0,17.11,0,650001,11121517.11,ASHX,0,0
Healthcare,530,ASLAN Pharmaceuticals Limited,-42225572.745,0,-5.407717152327758,0,7.13,-3.469971948532599,32025800,228343954.0,ASLN,-1.3184861188479289,0
Healthcare,536,Arsanis Inc.,-45550000.0,0,-0.6128441163556532,0,1.95,-0.4745157780195865,14315410,27915049.5,ASNS,-3.1818858139585244,0
Financial Services,543,AmeriServ Financial Inc. AmeriServ Financial Trust I,0,0,0,0,28.321,0,0,0.0,ASRVP,0,0
,563,Attis Industries Inc. Warrants,0,0,0,0,0.15,0,0,0.0,ATISW,0,0
,567,Barclays ETN Plus Select MLP,0,0,0,0,21.26,0,21762981,462680976.06000006,ATMP,0,0
