sector,index,name,netIncome,totalRevenue,marketCap_netIncome,currentPrice,sharesOutstanding,marketCap,ticker,netIncome_sharesOutstanding,marketCap_totalRevenue
Healthcare,50,Acer Therapeutics Inc.,-16511180.0,0,-18.719383839313725,30.745,10052988,309079116.06,ACER,-1.6424151704945833,0
,51,ALPS Clean Energy,0,0,0,26.08,0,0.0,ACES,0,0
Financial Services,54,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,575053000.0,5474543000.0,0.0,23.973,0,0.0,ACGLO,0,0.0
Financial Services,55,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,575053000.0,5474543000.0,0.0,23.36,0,0.0,ACGLP,0,0.0
Healthcare,58,Achillion Pharmaceuticals Inc.,-80328000.0,0,-5.425918610571656,3.145,138586070,435853190.15,ACHN,-0.5796253548426621,0
Healthcare,59,Achieve Life Sciences Inc.,-16022000.0,0,-0.7385228435900637,2.6,4551005,11832613.0,ACHV,-3.5205410673027164,0
,61,SPDR MSCI ACWI IMI,0,0,0,80.226,1300000,104293800.0,ACIM,0,0
Financial Services,70,Aberdeen Income Credit Strategies Fund,0,0,0,14.354,13074072,187665229.48799998,ACP,0,0
,74,American Customer Satisfaction,0,0,0,34.17,1700000,58089000.0,ACSI,0,0
Healthcare,75,Acasti Pharma Inc.,-20420473.399,0,-0.987746959577722,0.5499,36679870,20170260.513,ACST,-0.5567215314285465,0
,76,AdvisorShares Vice ETF,0,0,0,26.441,500000,13220500.0,ACT,0,0
Financial Services,79,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,0,0,0,24.77,10293758,254976385.66,ACV,0,0
,80,iShares Edge MSCI Multifactor Global,0,0,0,30.407,2300000,69936100.0,ACWF,0,0
,81,iShares MSCI ACWI Index Fund,0,0,0,73.445,120400000,8842778000.0,ACWI,0,0
,82,iShares Edge MSCI Min Vol Global,0,0,0,87.42,38400000,3356928000.0,ACWV,0,0
,83,iShares MSCI ACWI Ex US Index Fund,0,0,0,46.95,63400000,2976630000.0,ACWX,0,0
Healthcare,91,Adial Pharmaceuticals Inc,-2444756.0,0,-7.862698183376991,2.94,6538224,19222378.56,ADIL,-0.37391744302428304,0
,92,Adial Pharmaceuticals Inc Warrant,0,0,0,0.4,0,0.0,ADILW,0,0
,100,Invesco BLDRS Asia 50 ADR Index Fund,0,0,0,32.2125,600000,19327500.0,ADRA,0,0
,101,Invesco BLDRS Developed Markets 100 ADR Index Fund,0,0,0,22.268,2650000,59010200.0,ADRD,0,0
,102,Invesco BLDRS Emerging Markets 50 ADR Index Fund,0,0,0,39.845,3550000,141449750.0,ADRE,0,0
,104,Invesco BLDRS Europe Select ADR Index Fund,0,0,0,21.46,750000,16095000.0,ADRU,0,0
Financial Services,112,Adams Diversified Equity Fund Inc.,0,0,0,16.47,101105230,1665203138.1,ADX,0,0
Healthcare,114,Advaxis Inc. Warrants,0,0,0,0.03,0,0.0,ADXSW,0,0
Financial Services,116,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),2467147028.0,49778117308.0,0.0,24.691,0,0.0,AEB,0,0.0
Financial Services,117,AEGON N.V. Perp. Cap. Securities (Netherlands),2467147028.0,49778117308.0,0.0,25.815,0,0.0,AED,0,0.0
Financial Services,119,Aberdeen Emerging Markets Equity Income Fund Inc.,0,0,0,6.64,60499028,401713545.91999996,AEF,0,0
Financial Services,122,AEGON N.V. Perp. Cap Secs.,2467147028.0,49778117308.0,0.0,25.704,0,0.0,AEH,0,0.0
Financial Services,138,AllianceBernstein National Municipal Income Fund Inc,0,0,0,12.4,28744936,356437206.40000004,AFB,0,0
,141,,0,0,0,25.89,0,0.0,AFGE,0,0
,142,,0,0,0,25.63,0,0.0,AFGH,0,0
,144,Atlas Financial Holdings Inc. 6.625% Senior Unsecured Notes Due 2022,0,0,0,25.9199,0,0.0,AFHBL,0,0
,147,VanEck Vectors-Africa Index,0,0,0,20.971,2900000,60815900.0,AFK,0,0
Financial Services,151,AmTrust Financial Services Inc. Preferred Series A,168208000.0,6527250000.0,0.0,17.41,0,0.0,AFSI-A,0,0.0
Financial Services,152,AmTrust Financial Services Inc. Depository Shares Series B,168208000.0,6527250000.0,0.0,18.26,0,0.0,AFSI-B,0,0.0
Financial Services,153,AmTrust Financial Services Inc. Depository Shares Series C,168208000.0,6527250000.0,0.0,19.03,0,0.0,AFSI-C,0,0.0
Financial Services,154,AmTrust Financial Services Inc. Depositary Shares Series D,168208000.0,6527250000.0,0.0,19.47,0,0.0,AFSI-D,0,0.0
Financial Services,155,AmTrust Financial Services Inc. Depositary Shares Series E,168208000.0,6527250000.0,0.0,20.045,0,0.0,AFSI-E,0,0.0
Financial Services,156,AmTrust Financial Services Inc. Depositary Shares Series F,168208000.0,6527250000.0,0.0,17.437,0,0.0,AFSI-F,0,0.0
,157,,0,0,0,24.29,0,0.0,AFSS,0,0
,158,,0,0,0,25.232,0,0.0,AFST,0,0
Financial Services,159,Apollo Senior Floating Rate Fund Inc.,0,0,0,16.14,15573061,251349204.54000002,AFT,0,0
,160,CSOP FTSE China A50,0,0,0,14.271,555882,7932992.022000001,AFTY,0,0
Financial Services,163,Aberdeen Global Dynamic Dividend Fund,0,0,0,10.39,12549581,130390146.59,AGD,0,0
,165,DB Agriculture Long ETN due April 1 2038,0,0,0,9.05,95000,859750.0000000001,AGF,0,0
,167,AgroFresh Solutions Inc. Warrants,0,0,0,0.2096,0,0.0,AGFSW,0,0
,168,iShares Core U.S. Aggregate Bond,0,0,0,105.755,529300000,55976121500.0,AGG,0,0
,169,IQ Enhanced Core Bond U.S.,0,0,0,18.53,3400001,63002018.53,AGGE,0,0
,170,IQ Enhanced Core Plus Bond U.S.,0,0,0,19.14,14200001,271788019.14,AGGP,0,0
,171,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,0,0,0,48.52,8600000,417272000.0,AGGY,0,0
Financial Services,176,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,97243000.0,181598000.0,0.0,25.31,0,0.0,AGM-A,0,0.0
Financial Services,177,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,97243000.0,181598000.0,0.0,26.127,0,0.0,AGM-B,0,0.0
Financial Services,178,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,97243000.0,181598000.0,0.0,26.2,0,0.0,AGM-C,0,0.0
Technology,180,AGM Group Holdings Inc.,0,0,0,20.32,21316055,433142237.6,AGMH,0,0
Real Estate,184,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,1388000000.0,1461000000.0,0.0,26.25,0,0.0,AGNCN,0,0.0
,185,WisdomTree Barclays U.S. Aggregate Bond Negative D,0,0,0,43.86,700000,30702000.0,AGND,0,0
,187,Assured Guaranty Ltd.,0,0,0,25.763,0,0.0,AGO-B,0,0
Financial Services,188,Assured Guaranty Ltd.,532000000.0,1418000000.0,0.0,25.352,0,0.0,AGO-E,0,0.0
,189,Assured Guaranty Ltd.,0,0,0,24.9433,0,0.0,AGO-F,0,0
,190,ProShares Ultra Silver,0,0,0,22.79,7946526,181101327.54,AGQ,0,0
Healthcare,193,Agile Therapeutics Inc.,-25519000.0,0,-0.525379454915945,0.39,34377329,13407158.31,AGRX,-0.7423206148447425,0
,195,iShares MSCI Argentina and Global Exposure,0,0,0,21.57,1000000,21570000.0,AGT,0,0
,199,iShares Agency Bond,0,0,0,110.723,3650000,404138950.0,AGZ,0,0
,200,WisdomTree Barclays U.S. Aggregate Bond Zero Durat,0,0,0,48.2,1100000,53020000.0,AGZD,0,0
Financial Services,204,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,-424000000.0,2403400000.0,-0.0,25.47,0,0.0,AHL-C,0,0.0
Industrials,206,Avista Healthcare Public Acquisition Corp.,-2393775.0,0,-50.82113398878341,10.137,12001022,121654360.014,AHPA,-0.19946426229366132,0
Industrials,207,Avista Healthcare Public Acquisition Corp. Unit,-2393775.0,0,-0.0,10.25,0,0.0,AHPAU,0,0
,208,Avista Healthcare Public Acquisition Corp. Warrants,0,0,0,0.18,0,0.0,AHPAW,0,0
Real Estate,212,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,-96356000.0,1426262000.0,-0.0,24.097,0,0.0,AHT-F,0,0.0
Real Estate,213,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,-96356000.0,1426262000.0,-0.0,24.2,0,0.0,AHT-G,0,0.0
Real Estate,214,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,-96356000.0,1426262000.0,-0.0,24.51,0,0.0,AHT-H,0,0.0
Real Estate,215,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,-96356000.0,1426262000.0,-0.0,24.18,0,0.0,AHT-I,0,0.0
Financial Services,217,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,-29882000.0,26641000.0,-0.0,24.4,0,0.0,AI-B,0,0.0
,218,iShares Asia 50 ETF,0,0,0,60.65,16550000,1003757500.0,AIA,0,0
,219,,0,0,0,24.092,0,0.0,AIC,0,0
,220,AI Powered Equity,0,0,0,29.328,6650000,195031200.0,AIEQ,0,0
Financial Services,221,Apollo Tactical Income Fund Inc.,0,0,0,15.69,14464026,226940567.94,AIF,0,0
Financial Services,223,American International Group Inc. Warrant expiring January 19 2021,-6524000000.0,47811000000.0,-0.0,14.138,0,0.0,AIG+,0,0.0
,225,AI Powered International Equity,0,0,0,24.29,150000,3643500.0,AIIQ,0,0
Healthcare,227,Aimmune Therapeutics Inc.,-175010000.0,0,-9.360867845265986,28.015,58477440,1638245481.6000001,AIMT,-2.992778069628219,0
,232,Global X Future Analytics Tech ETF,0,0,0,15.74,3050002,48007031.480000004,AIQ,0,0
,236,First Trust RBA American Industrial Renaissance ET,0,0,0,28.205,6800002,191794056.41,AIRR,0,0
Real Estate,240,Apartment Investment and Management Company Preferred Series Class A,380600000.0,1007771000.0,0.0,26.2019,0,0.0,AIV-A,0,0.0
Financial Services,241,Arlington Asset Investment Corp 6.625% Notes due 2023,-29882000.0,26641000.0,-0.0,24.3784,0,0.0,AIW,0,0.0
Financial Services,242,Apollo Investment Corporation 6.875% Senior Notes due 2043,71497000.0,249474000.0,0.0,25.38,0,0.0,AIY,0,0.0
Financial Services,244,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,428600000.0,6656300000.0,0.0,111.05,0,0.0,AIZP,0,0.0
,248,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,0,0,0,25.6699,0,0.0,AJXA,0,0
Financial Services,257,Alliance California Municipal Income Fund Inc,0,0,0,13.61,8554668,116429031.47999999,AKP,0,0
Healthcare,262,Akari Therapeutics Plc,-24153321.0,0,-1.3037673691332137,2.064,15256934,31490311.776,AKTX,-1.583104508415649,0
,267,WisdomTree Asia Local Debt Fund,0,0,0,42.59,400000,17036000.0,ALD,0,0
Healthcare,269,Aldeyra Therapeutics Inc.,-29388207.0,0,-5.602693692745529,7.85,20974920,164653122.0,ALDX,-1.4011117563261266,0
,272,AlphaClone Alternative Alpha,0,0,0,51.18,500000,25590000.0,ALFA,0,0
Industrials,275,Allegro Merger Corp.,-55.0,0,-0.0,9.56,0,0.0,ALGR,0,0
,276,Allegro Merger Corp. Right,0,0,0,0.38,0,0.0,ALGRR,0,0
Industrials,277,Allegro Merger Corp. Unit,-55.0,0,-0.0,10.24,0,0.0,ALGRU,0,0
,278,Allegro Merger Corp. Warrant,0,0,0,0.34,0,0.0,ALGRW,0,0
Financial Services,285,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,3566000000.0,39372000000.0,0.0,25.3,0,0.0,ALL-A,0,0.0
Financial Services,286,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,3566000000.0,39372000000.0,0.0,25.805,0,0.0,ALL-B,0,0.0
Financial Services,287,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,3566000000.0,39372000000.0,0.0,25.4,0,0.0,ALL-C*,0,0.0
Financial Services,288,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,3566000000.0,39372000000.0,0.0,25.79,0,0.0,ALL-D,0,0.0
Financial Services,289,Allstate Corporation Depositary Shares Series E,3566000000.0,39372000000.0,0.0,25.81,0,0.0,ALL-E,0,0.0
Financial Services,290,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,3566000000.0,39372000000.0,0.0,26.012,0,0.0,ALL-F,0,0.0
Financial Services,291,Allstate Corporation (The) Depositary Shares Series G,3566000000.0,39372000000.0,0.0,25.5,0,0.0,ALL-G,0,0.0
Healthcare,293,Allakos Inc.,-13541000.0,0,-137.5881936459641,44.24,42113059,1863081730.16,ALLK,-0.32153921661212026,0
Financial Services,296,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,0,0,0,26.08,0,0.0,ALLY-A,0,0
Healthcare,298,Allena Pharmaceuticals Inc.,-27874000.0,0,-8.263939646265337,11.1,20752167,230349053.7,ALNA,-1.3431850273756953,0
Utilities,302,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),848000000.0,5934000000.0,0.0,25.461,0,0.0,ALP-Q,0,0.0
Healthcare,306,Aileron Therapeutics Inc.,-30203000.0,0,-1.351607573419859,2.77,14737402,40822603.54,ALRN,-2.0494114227188756,0
,311,ProShares Morningstar Alternatives Solution,0,0,0,37.9786,200001,7595757.9786,ALTS,0,0
,312,Global X SuperDividend Alternatives ETF,0,0,0,15.19,0,0.0,ALTY,0,0
Financial Services,318,Amalgamated Bank,0,0,0,18.9,0,0.0,AMAL,0,0
Financial Services,322,Ambac Financial Group Inc. Warrants,99633000.0,643744000.0,0.0,10.5,0,0.0,AMBCW,0,0.0
,326,iShares Russell 1000 Pure U.S. Revenue ETF,0,0,0,28.91,350000,10118500.0,AMCA,0,0
Real Estate,338,American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest,103265000.0,1012124000.0,0.0,25.32,0,0.0,AMH-D,0,0.0
Real Estate,339,American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest,103265000.0,1012124000.0,0.0,25.065,0,0.0,AMH-E,0,0.0
Real Estate,340,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,103265000.0,1012124000.0,0.0,23.85,0,0.0,AMH-F,0,0.0
Real Estate,341,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,103265000.0,1012124000.0,0.0,23.6,0,0.0,AMH-G,0,0.0
,343,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,0,0,0,28,119000000,3332000000.0,AMJ,0,0
,344,Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index Exchange Traded Notes due May 16 2036,0,0,0,19.055,0,0.0,AMJL,0,0
,346,Alerian MLP,0,0,0,10.88,917612100,9983619648.0,AMLP,0,0
Healthcare,353,Ampio Pharmaceuticals Inc.,-20719508.0,0,-2.9705837509848205,0.5777,106541516,61549033.7932,AMPE,-0.1944735608980822,0
,359,Ameri Holdings Inc. Warrant,0,0,0,0.2011,0,0.0,AMRHW,0,0
,363,Alta Mesa Resources Inc. Warrant,0,0,0,0.599,0,0.0,AMRWW,0,0
,372,ETRACS Alerian MLP Index ETN,0,0,0,17.57,17010000,298865700.0,AMU,0,0
,373,ETRACS Alerian MLP Index ETN Series B due July 18 2042,0,0,0,18.2963,400000,7318519.999999999,AMUB,0,0
,376,InfraCap MLP,0,0,0,7.765,83450004,647989281.06,AMZA,0,0
,390,VanEck Vectors Fallen Angel High Yield Bond,0,0,0,28.995,38100000,1104709500.0,ANGL,0,0
Real Estate,395,Anworth Mortgage Asset Corporation 7.625% Series C Cumulative Redeemable Preferred Stock,40954000.0,55155000.0,0.0,25.48,0,0.0,ANH-C,0,0.0
,402,iShares Core Aggressive Allocation,0,0,0,54.34,16650000,904761000.0,AOA,0,0
Financial Services,404,Aberdeen Total Dynamic Dividend Fund,0,0,0,8.8,107593338,946821374.4000001,AOD,0,0
,405,iShares Core Conservative Allocation,0,0,0,34.091,13800000,470455800.0,AOK,0,0
,406,iShares Core Moderate Allocation,0,0,0,37.79,24300000,918297000.0,AOM,0,0
,408,iShares Core Growth Allocation,0,0,0,44.891,24800000,1113296800.0,AOR,0,0
Financial Services,414,Asia Pacific Fund Inc. (The),0,0,0,12.95,10344072,133955732.39999999,APB,0,0
,418,,0,0,0,0.171849,0,0.0,APDNW,0,0
Financial Services,421,Morgan Stanley Asia-Pacific Fund Inc.,0,0,0,16.39,13130016,215200962.24,APF,0,0
Healthcare,425,Apellis Pharmaceuticals Inc.,-84899773.0,0,-12.2712143126696,18.545,56178124,1041823309.58,APLS,-1.5112603795740847,0
Financial Services,427,Apollo Global Management LLC 6.375% Series A Preferred Shares,397576000.0,2223969000.0,0.0,25.3,0,0.0,APO-A,0,0.0
Financial Services,428,Apollo Global Management LLC 6.375% Series B Preferred Shares,397576000.0,2223969000.0,0.0,24.794,0,0.0,APO-B,0,0.0
Healthcare,430,Cellect Biotechnology Ltd.,-5838963.2469999995,0,-5.574310647823127,5,6509639,32548195.0,APOP,-0.8969718976735883,0
,431,Cellect Biotechnology Ltd. Warrants to Purchase ADR (1 WT and $7.50 to purchase 1 ADS),0,0,0,2.05,0,0.0,APOPW,0,0
Healthcare,435,Apricus Biosciences Inc.,-10826000.0,0,-0.6166751039349714,0.2848,23441449,6676124.6752,APRI,-0.46183151903280384,0
Healthcare,439,Aptose Biosciences Inc.,-22619810.718000002,0,-4.054202405063644,2.665,34410991,91705291.015,APTO,-0.6573426123647529,0
,462,Arrow Reserve Capital Management,0,0,0,100.0952,760000,76072352.0,ARCM,0,0
Healthcare,464,Arcturus Therapeutics Ltd.,-10902000.0,0,-8.764689591359385,9.255,10324435,95552645.92500001,ARCT,-1.0559415599981985,0
Financial Services,467,Ares Dynamic Credit Allocation Fund Inc.,0,0,0,15.9,22962441,365102811.90000004,ARDC,0,0
Healthcare,469,Aridis Pharmaceuticals Inc.,0,0,0,12.339,0,0.0,ARDS,0,0
Real Estate,472,Alexandria Real Estate Equities Inc. 7.00% Series D Cumulative Convertible Preferred Stock,283521000.0,1226547000.0,0.0,35.2433,0,0.0,ARE-D,0,0.0
Financial Services,474,Ares Management L.P. 7.00% Series A Preferred Shares Representing Limited Partner Interests,172273000.0,1056075000.0,0.0,26.545,0,0.0,ARES-A,0,0.0
,476,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,0,0,0,25.13,0,0.0,ARGD,0,0
,478,Global X MSCI Argentina,0,0,0,25.46,824975,21003863.5,ARGT,0,0
Real Estate,481,Apollo Commercial Real Estate Finance 8.00% Series C Cumulative Redeemable Perpetual Preferred Stock,214452000.0,241816000.0,0.0,25.7366,0,0.0,ARI-C,0,0.0
,483,ARK Genomic Revolution Multi-Sector,0,0,0,33.333,704922,23497165.026,ARKG,0,0
,484,ARK Innovation,0,0,0,47.65,0,0.0,ARKK,0,0
,485,ARK Industrial Innovation,0,0,0,36.245,0,0.0,ARKQ,0,0
,487,ARK Web x.0,0,0,0,57.52,600000,34512000.0,ARKW,0,0
,494,,0,0,0,0,0,0.0,ARNC-,0,0
Financial Services,510,ASA Gold and Precious Metals Limited,0,0,0,8.64,19289905,166664779.20000002,ASA,0,0
Financial Services,512,Associated Banc-Corp Warrants,273659000.0,1167021000.0,0.0,7.15,0,0.0,ASB+,0,0.0
Financial Services,513,Associated Banc-Corp Depositary shares Series C,273659000.0,1167021000.0,0.0,25.613,0,0.0,ASB-C,0,0.0
,517,Global X FTSE Southeast Asia,0,0,0,15.86,1400000,22204000.0,ASEA,0,0
,518,FlexShares Real Assets Allocation Index Fund,0,0,0,28.14,525001,14773528.14,ASET,0,0
Financial Services,520,Liberty All-Star Growth Fund Inc.,0,0,0,6.275,27441940,172198173.5,ASG,0,0
,523,Xtrackers Harvest CSI 300 China A-Shares,0,0,0,23.785,30700001,730199523.785,ASHR,0,0
,524,Xtrackers Harvest CSI 500 China A-Shares Small Cap,0,0,0,24.49,850001,20816524.49,ASHS,0,0
,525,Xtrackers MSCI China A Inclusion Equity,0,0,0,17.17,650001,11160517.170000002,ASHX,0,0
Healthcare,527,ASLAN Pharmaceuticals Limited,-42225572.745,0,-6.1206560195350646,8.07,32025800,258448206.0,ASLN,-1.3184861188479289,0
Healthcare,533,Arsanis Inc.,-45550000.0,0,-0.5531310998902306,1.76,14315410,25195121.6,ASNS,-3.1818858139585244,0
Financial Services,540,AmeriServ Financial Inc. AmeriServ Financial Trust I,0,0,0,28.5,0,0.0,ASRVP,0,0
,560,Attis Industries Inc. Warrants,0,0,0,0.084,0,0.0,ATISW,0,0
,564,Barclays ETN Plus Select MLP,0,0,0,21.235,21778181,462459673.53499997,ATMP,0,0
Healthcare,566,Actinium Pharmaceuticals Inc. (Delaware),-22662995.0,0,-3.6449096932422216,0.7478,110463453,82604570.1534,ATNM,-0.20516283335810623,0
Healthcare,570,Atossa Genetics Inc.,-10194497.0,0,-0.8723824235761706,1.617,5500000,8893500.0,ATOS,-1.853544909090909,0
Healthcare,572,Atara Biotherapeutics Inc.,-158735000.0,0,-11.583107563864301,40.55,45342653,1838644579.1499999,ATRA,-3.50078765792553,0
Healthcare,584,Avenue Therapeutics Inc.,-24225000.0,0,-1.4987494241486068,3.44,10554420,36307204.8,ATXI,-2.2952469202476307,0
Basic Materials,585,AngloGold Ashanti Limited,0,0,0,8.38,411611313,3449302802.9400005,AU,0,0
Basic Materials,588,Auryn Resources Inc.,-5299695.918,0,-17.878328920380145,1.05,90237816,94749706.8,AUG,-0.05873032119926306,0
,589,Defiance Future Tech,0,0,0,25.28,100000,2528000.0,AUGR,0,0
,593,WisdomTree Australia Dividend Index,0,0,0,55.67,650000,36185500.0,AUSE,0,0
Healthcare,595,Autolus Therapeutics plc,0,0,0,28.95,40153903,1162455491.85,AUTL,0,0
Financial Services,610,Advent Claymore Convertible Securities and Income Fund,0,0,0,15.61,20043745,312882859.45,AVK,0,0
Healthcare,615,AVROBIO Inc.,-23360000.0,0,-42.00218277482877,40.99,23936838,981170989.62,AVRO,-0.9759016625337064,0
Healthcare,618,Anavex Life Sciences Corp.,-16814927.0,0,-6.18722213007526,2.29,45431305,104037688.45,AVXL,-0.3701176314437809,0
Financial Services,621,Alliancebernstein Global High Income Fund,0,0,0,11.65,86229677,1004575737.0500001,AWF,0,0
Financial Services,624,Aberdeen Global Premier Properties Fund of Beneficial Interest,0,0,0,6.355,85407951,542767528.605,AWP,0,0
,633,WisdomTree Asia Pacific ex-Japan Total Dividend Fund,0,0,0,67.62,650000,43953000.0,AXJL,0,0
,634,iShares Edge MSCI A Min Vol Asia ex Japan,0,0,0,35.39,350000,12386500.0,AXJV,0,0
Healthcare,636,Axovant Sciences Ltd.,-204195000.0,0,-1.2345886393888195,2.065,122080788,252096827.22,AXON,-1.6726219034562588,0
Financial Services,640,Axis Capital Holdings Limited Preferred Series D (Bermuda),-307796000.0,4925760000.0,-0.0,24.72,0,0.0,AXS-D,0,0.0
Financial Services,641,Axis Capital Holdings Limited Depositary Shares Series E,-307796000.0,4925760000.0,-0.0,24.7,0,0.0,AXS-E,0,0.0
Healthcare,642,Axsome Therapeutics Inc.,-26950512.0,0,-3.0918367705964176,3.174,26252862,83326583.988,AXSM,-1.0265742455051186,0
Healthcare,655,AzurRx BioPharma Inc.,-12557409.0,0,-3.501295625554603,2.6,16910462,43967201.2,AZRX,-0.7425822547012613,0
,660,Invesco Taxable Municipal Bond,0,0,0,29.294,31650000,927155100.0,BAB,0,0
Financial Services,664,Bank of America Corporation Class A Warrant expiring January 16 2019,21809000000.0,88009000000.0,0.0,18.55,0,0.0,BAC+A,0,0.0
Financial Services,665,Bank of America Corporation Class B Warrants expiring 10/28/2018,21809000000.0,88009000000.0,0.0,0.54,0,0.0,BAC+B,0,0.0
Financial Services,666,Bank of America Corporation Depositary Shares each representing a 1/1000 th interest in a share of 6.000% Non-Cumulative,21809000000.0,88009000000.0,0.0,26.12,0,0.0,BAC-A,0,0.0
Financial Services,667,Bank of America Corporation Depositary Shares Series G,21809000000.0,88009000000.0,0.0,25.869,0,0.0,BAC-B,0,0.0
Financial Services,668,Bank of America Corporation Depositary Shares Series C,21809000000.0,88009000000.0,0.0,26.14,0,0.0,BAC-C,0,0.0
Financial Services,670,Bank of America Corporation Depositary Shares Series H,21809000000.0,88009000000.0,0.0,25.44,0,0.0,BAC-K,0,0.0
Financial Services,671,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,21809000000.0,88009000000.0,0.0,1298.228,0,0.0,BAC-L,0,0.0
Financial Services,672,Bank of America Corporation Depository Shares Series W,21809000000.0,88009000000.0,0.0,25.891,0,0.0,BAC-W,0,0.0
